Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,22.0,1.0,22.0,22.0,0.1,10.202999999999996,0.0,0.0,0.014502763748168945,,,,,,,,,,,,,,,,,,,,,3.2488566502443605,3.563328653083942,10.151818639154293,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,50.0,2.0,28.0,50.0,0.1,9.002999999999993,0.0,0.0,3.014679193496704,,,,,,,,,,,,,,,,,,,,,2.400986070736604,2.7934335374809165,8.953670777904406,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,67.0,3.0,17.0,67.0,0.1,8.803999999999997,0.0,0.0,5.114436626434326,,,,,,,,,,,,,,,,,,,,,3.088205096590536,3.261305685340413,8.76902980393603,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,84.0,4.0,17.0,84.0,0.1,10.602999999999998,0.0,0.0,7.003485918045044,,,,,,,,,,,,,,,,,,,,,4.304396544663474,3.8287307275219575,10.550916540905995,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,105.0,5.0,21.0,105.0,0.1,15.201999999999998,0.0,0.0,9.251007795333862,,,,,,,,,,,,,,,,,,,,,6.5963244672802475,5.297140311669699,15.093649391320364,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,123.0,6.0,18.0,123.0,0.1,12.701999999999998,0.0,0.0,11.445425987243652,,,,,,,,,,,,,,,,,,,,,5.539110787461645,4.509202014409967,12.627538455197632,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,137.0,7.0,14.0,137.0,0.1,7.203,0.0,0.0,13.127285480499268,,,,,,,,,,,,,,,,,,,,,2.6814952971416672,2.7020026707738136,7.179811509046602,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,154.0,8.0,17.0,154.0,0.1,8.802999999999997,0.0,0.0,15.068516254425049,,,,,,,,,,,,,,,,,,,,,3.1630904417799806,3.202149777534861,8.76675220013782,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,173.0,9.0,19.0,173.0,0.1,12.202999999999998,0.0,0.0,17.15456533432007,,,,,,,,,,,,,,,,,,,,,4.9085095524369775,4.388690386966952,12.133994172855237,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,191.0,10.0,18.0,191.0,0.1,10.202999999999998,0.0,0.0,19.22092580795288,,,,,,,,,,,,,,,,,,,,,3.871648838181306,3.6599934598186787,10.153607382069495,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
